feature,tophat2,hisat2,hisat2/tophat2
FBgn0020272,3,3,1
FBgn0020278,7,6,0.8571428571428571
FBgn0020279,33,29,0.8787878787878788
FBgn0020294,2,2,1
FBgn0020299,4,4,1
FBgn0020300,1,1,1
FBgn0020304,37,30,0.8108108108108109
FBgn0020305,4,3,0.75
FBgn0020306,124,108,0.8709677419354839
FBgn0020307,2,1,0.5
FBgn0020309,48,46,0.9583333333333334
FBgn0020312,9,6,0.6666666666666666
FBgn0020369,28,27,0.9642857142857143
FBgn0020370,32,31,0.96875
FBgn0020372,3,3,1
FBgn0020379,14,13,0.9285714285714286
FBgn0020381,3,2,0.6666666666666666
FBgn0020385,7,7,1
FBgn0020386,54,51,0.9444444444444444
FBgn0020388,7,7,1
FBgn0020389,3,3,1
FBgn0020391,1,1,1
FBgn0020392,12,9,0.75
FBgn0020399,1,1,1
FBgn0020407,2,2,1
FBgn0020412,35,30,0.8571428571428571
FBgn0020414,19,18,0.9473684210526315
FBgn0020415,10,9,0.9
FBgn0020416,7,3,0.42857142857142855
FBgn0020440,9,8,0.8888888888888888
FBgn0020443,83,78,0.9397590361445783
FBgn0020445,33,27,0.8181818181818182
FBgn0020493,15,13,0.8666666666666667
FBgn0020496,58,45,0.7758620689655172
FBgn0020497,24,24,1
FBgn0020503,29,27,0.9310344827586207
FBgn0020508,6,5,0.8333333333333334
FBgn0020510,13,13,1
FBgn0020513,31,30,0.967741935483871
FBgn0020521,7,6,0.8571428571428571
FBgn0020545,5,4,0.8
FBgn0020616,4,4,1
FBgn0020618,154,147,0.9545454545454546
FBgn0020620,18,19,1.0555555555555556
FBgn0020621,19,14,0.7368421052631579
FBgn0020622,31,31,1
FBgn0020626,2,2,1
FBgn0020633,17,11,0.6470588235294118
FBgn0020647,30,27,0.9
FBgn0020653,29,27,0.9310344827586207
FBgn0020655,1,1,1
FBgn0020762,7,4,0.5714285714285714
FBgn0020764,27,22,0.8148148148148148
FBgn0020765,14,13,0.9285714285714286
FBgn0020767,5,6,1.2
FBgn0020887,23,23,1
FBgn0020906,13,11,0.8461538461538461
FBgn0020907,2,2,1
FBgn0020908,174,191,1.0977011494252873
FBgn0020909,4,4,1
FBgn0020910,223,206,0.9237668161434978
FBgn0020912,5,4,0.8
FBgn0020930,7,7,1
FBgn0021750,1,1,1
FBgn0021760,25,23,0.92
FBgn0021761,29,28,0.9655172413793104
FBgn0021764,38,38,1
FBgn0021765,23,22,0.9565217391304348
FBgn0021768,9,9,1
FBgn0021795,13,12,0.9230769230769231
FBgn0021796,26,26,1
FBgn0021800,7,7,1
FBgn0021814,3,3,1
FBgn0021818,15,15,1
FBgn0021825,6,5,0.8333333333333334
FBgn0021847,6,4,0.6666666666666666
FBgn0021856,8,8,1
FBgn0021872,27,24,0.8888888888888888
FBgn0021874,5,5,1
FBgn0021875,2,1,0.5
FBgn0021895,11,9,0.8181818181818182
FBgn0021906,41,26,0.6341463414634146
FBgn0021944,6,6,1
FBgn0021967,18,11,0.6111111111111112
FBgn0021979,11,11,1
FBgn0021995,7,7,1
FBgn0022023,29,28,0.9655172413793104
FBgn0022027,10,10,1
FBgn0022029,10,11,1.1
FBgn0022069,22,17,0.7727272727272727
FBgn0022097,13,12,0.9230769230769231
FBgn0022153,29,21,0.7241379310344828
FBgn0022160,72,60,0.8333333333333334
FBgn0022213,27,28,1.037037037037037
FBgn0022224,3,2,0.6666666666666666
FBgn0022238,27,24,0.8888888888888888
FBgn0022288,9,8,0.8888888888888888
FBgn0022338,17,11,0.6470588235294118
FBgn0022343,21,17,0.8095238095238095
FBgn0022344,14,13,0.9285714285714286
FBgn0022349,28,26,0.9285714285714286
FBgn0022355,6,6,1
FBgn0022359,3,3,1
FBgn0022361,8,9,1.125
FBgn0022382,20,19,0.95
FBgn0022699,3,2,0.6666666666666666
FBgn0022700,5,4,0.8
FBgn0022702,4,3,0.75
FBgn0022709,3,3,1
FBgn0022710,12,10,0.8333333333333334
FBgn0022724,9,7,0.7777777777777778
FBgn0022764,92,87,0.9456521739130435
FBgn0022768,25,24,0.96
FBgn0022770,2,2,1
FBgn0022772,22,21,0.9545454545454546
FBgn0022774,4,4,1
FBgn0022786,4,4,1
FBgn0022787,26,22,0.8461538461538461
FBgn0022800,1,1,1
FBgn0022893,162,148,0.9135802469135802
FBgn0022935,7,7,1
FBgn0022936,3,3,1
FBgn0022942,9,8,0.8888888888888888
FBgn0022943,17,16,0.9411764705882353
FBgn0022959,16,15,0.9375
FBgn0022960,7,7,1
FBgn0022981,6,6,1
FBgn0022984,4,4,1
FBgn0022985,18,19,1.0555555555555556
FBgn0022986,7,7,1
FBgn0022987,14,14,1
FBgn0023000,2,2,1
FBgn0023023,2,2,1
FBgn0023076,1,1,1
FBgn0023081,14,14,1
FBgn0023083,14,12,0.8571428571428571
FBgn0023094,2,2,1
FBgn0023095,13,13,1
FBgn0023097,20,18,0.9
FBgn0023129,17,17,1
FBgn0023130,2,2,1
FBgn0023143,91,87,0.9560439560439561
FBgn0023167,11,10,0.9090909090909091
FBgn0023169,11,11,1
FBgn0023170,28,18,0.6428571428571429
FBgn0023171,7,7,1
FBgn0023172,61,57,0.9344262295081968
FBgn0023174,17,15,0.8823529411764706
FBgn0023175,25,23,0.92
FBgn0023177,11,8,0.7272727272727273
FBgn0023180,5,3,0.6
FBgn0023181,7,7,1
FBgn0023197,60,49,0.8166666666666667
FBgn0023212,12,12,1
FBgn0023213,112,106,0.9464285714285714
FBgn0023215,60,54,0.9
FBgn0023216,11,11,1
FBgn0023388,17,16,0.9411764705882353
FBgn0023395,11,11,1
FBgn0023407,28,29,1.0357142857142858
FBgn0023441,34,31,0.9117647058823529
FBgn0023458,35,30,0.8571428571428571
FBgn0023477,14,13,0.9285714285714286
FBgn0023479,26,21,0.8076923076923077
FBgn0023489,1,1,1
FBgn0023506,6,6,1
FBgn0023507,9,8,0.8888888888888888
FBgn0023508,10,9,0.9
FBgn0023509,8,8,1
FBgn0023510,12,12,1
FBgn0023511,7,6,0.8571428571428571
FBgn0023512,11,10,0.9090909090909091
FBgn0023513,8,7,0.875
FBgn0023514,6,6,1
FBgn0023515,66,60,0.9090909090909091
FBgn0023516,2,2,1
FBgn0023517,2,2,1
FBgn0023518,13,15,1.1538461538461537
FBgn0023519,3,3,1
FBgn0023520,1,1,1
FBgn0023522,12,12,1
FBgn0023526,37,34,0.918918918918919
FBgn0023527,5,5,1
FBgn0023528,76,72,0.9473684210526315
FBgn0023529,17,14,0.8235294117647058
FBgn0023530,1,1,1
FBgn0023531,4,3,0.75
FBgn0023536,2,1,0.5
FBgn0023537,19,19,1
FBgn0023540,14,13,0.9285714285714286
FBgn0023541,1,1,1
FBgn0023542,6,6,1
FBgn0023545,5,5,1
FBgn0023549,10,8,0.8
FBgn0023550,3,3,1
FBgn0024150,1,1,1
FBgn0024177,18,11,0.6111111111111112
FBgn0024179,1,1,1
FBgn0024183,13,9,0.6923076923076923
FBgn0024187,7,6,0.8571428571428571
FBgn0024188,13,13,1
FBgn0024194,7,7,1
FBgn0024196,4,4,1
FBgn0024222,10,9,0.9
FBgn0024227,1,1,1
FBgn0024230,11,9,0.8181818181818182
FBgn0024232,1,1,1
FBgn0024234,1,1,1
FBgn0024236,86,77,0.8953488372093024
FBgn0024238,16,14,0.875
FBgn0024244,2,2,1
FBgn0024245,5,4,0.8
FBgn0024248,9,8,0.8888888888888888
FBgn0024250,4,4,1
FBgn0024273,8,8,1
FBgn0024277,16,14,0.875
FBgn0024285,5,4,0.8
FBgn0024288,1,1,1
FBgn0024289,1,1,1
FBgn0024291,23,23,1
FBgn0024293,7,7,1
FBgn0024314,7,7,1
FBgn0024315,14,13,0.9285714285714286
FBgn0024320,22,23,1.0454545454545454
FBgn0024321,4,4,1
FBgn0024326,23,22,0.9565217391304348
FBgn0024329,16,15,0.9375
FBgn0024330,4,4,1
FBgn0024332,14,14,1
FBgn0024352,49,45,0.9183673469387755
FBgn0024360,3,4,1.3333333333333333
FBgn0024361,1,1,1
FBgn0024362,9,7,0.7777777777777778
FBgn0024364,11,11,1
FBgn0024365,11,11,1
FBgn0024371,11,9,0.8181818181818182
FBgn0024432,15,12,0.8
